frame,raw_speed,smoothed_speed,points,median_px,state
177,49.54,36.58,15,20.48,reinit
178,65.78,36.58,12,27.19,reinit
179,82.54,36.58,19,34.12,reinit
180,100.91,41.54,22,41.71,reinit
181,155.29,41.79,18,64.18,reinit
182,,,8,,init
183,,,23,,init
184,65.93,42.35,23,27.25,reinit
185,59.66,44.2,23,24.66,reinit
186,80.29,49.54,11,33.19,reinit
187,,,12,,init
188,34.45,49.54,12,14.24,reinit
189,,,17,,init
190,25.37,49.54,17,10.48,reinit
191,,,27,,init
192,10.8,49.54,27,4.46,reinit
193,15.69,49.54,25,6.48,reinit
194,13.96,49.54,23,5.77,reinit
195,8.43,49.54,22,1.71,reinit
196,9.01,49.54,17,3.72,reinit
197,10.32,34.45,21,4.27,reinit
198,4.98,25.37,24,1.39,reinit
199,4.55,15.69,23,1.2,reinit
200,4.22,13.96,28,0.92,reinit
201,3.4,10.8,27,1.15,reinit
202,3.11,10.32,25,0.83,reinit
203,8.18,9.01,21,3.38,reinit
204,17.11,9.01,22,7.07,reinit
205,7.23,8.43,24,2.98,reinit
206,2.39,8.18,16,0.73,reinit
207,5.73,7.23,22,2.37,reinit
208,6.57,6.57,27,2.67,reinit
209,3.93,5.73,26,1.62,reinit
210,,,24,,reinit
211,2.0,4.98,22,0.5,reinit
212,2.3,4.55,21,0.73,reinit
213,,,18,,reinit
214,,,23,,reinit
215,2.07,4.22,19,0.71,reinit
216,,,16,,reinit
217,,,15,,reinit
218,,,22,,reinit
219,,,26,,reinit
220,,,25,,reinit
221,,,24,,reinit
222,,,27,,reinit
223,,,28,,reinit
224,,,29,,reinit
225,,,28,,reinit
226,,,28,,reinit
227,,,22,,reinit
228,35.95,4.22,21,0.01,reinit
229,39.53,4.22,22,0.01,reinit
230,35.2,5.73,21,0.09,reinit
231,31.83,6.57,22,0.28,reinit
232,31.28,7.23,22,0.03,reinit
233,28.34,7.23,22,0.37,reinit
234,1.95,6.57,22,0.71,reinit
235,25.86,6.57,26,0.31,reinit
236,25.7,25.7,30,0.53,track
237,24.09,25.7,30,0.09,track
238,19.67,25.7,30,0.53,track
239,10.36,25.7,30,0.03,track
240,8.72,25.7,30,0.31,track
241,2.14,25.7,30,0.21,track
242,2.16,25.7,30,0.01,track
243,3.51,24.09,30,0.08,track
244,,,30,,track
245,,,30,,track
246,,,30,,track
247,,,30,,track
248,,,30,,track
249,3.18,19.67,30,0.01,track
250,11.22,11.22,30,0.01,track
251,12.69,11.22,30,0.08,track
252,8.78,10.36,30,0.0,track
253,9.23,9.23,30,0.01,track
254,10.21,10.21,30,0.0,track
255,8.83,9.23,30,0.01,track
256,8.62,8.83,30,0.0,track
257,5.25,8.78,30,0.01,track
258,2.83,8.72,30,0.01,track
259,3.8,8.62,30,0.0,track
260,4.27,5.25,30,0.01,track
261,3.92,5.25,30,0.0,track
262,4.6,5.25,30,0.0,track
263,4.32,5.25,30,0.01,track
264,3.85,5.25,30,0.02,track
265,3.42,4.6,30,0.14,track
266,2.38,4.32,30,0.05,track
267,3.56,4.27,30,0.02,track
268,4.58,4.27,30,0.02,track
269,,,30,,track
270,14.19,4.27,30,0.01,track
271,6.9,4.27,30,0.03,track
272,6.16,4.27,30,0.04,track
273,2.79,3.92,30,0.01,track
274,,,30,,track
275,,,30,,track
276,,,30,,track
277,,,30,,track
278,,,30,,track
279,,,30,,track
280,,,30,,track
281,,,30,,track
282,,,30,,track
283,54.06,4.27,30,0.0,track
284,111.31,4.32,30,0.0,track
285,146.77,4.58,30,0.0,track
286,18.79,4.6,30,0.01,track
287,480.27,6.16,30,0.01,track
288,,,30,,track
289,,,30,,track
290,,,30,,track
291,,,30,,track
292,,,30,,track
293,,,30,,track
294,,,30,,track
295,,,30,,track
296,,,30,,track
297,,,30,,track
298,,,30,,track
299,,,30,,track
300,,,30,,track
301,,,30,,track
302,,,30,,track
303,,,30,,track
304,,,30,,track
305,,,30,,track
306,40.12,6.9,30,0.02,track
307,15.99,14.19,30,0.02,track
308,80.63,15.99,30,0.01,track
309,87.0,18.79,30,0.01,track
310,44.01,40.12,30,0.0,track
311,132.1,44.01,30,0.08,track
312,83.96,54.06,30,0.02,track
313,137.8,80.63,30,0.0,track
314,14.88,80.63,30,0.0,track
315,96.42,83.96,30,0.0,track
316,60.09,83.96,30,0.01,track
317,102.98,83.96,30,0.0,track
318,195.09,83.96,30,0.01,track
319,202.93,87.0,30,0.01,track
320,382.19,87.0,30,0.0,track
321,36.55,87.0,29,0.0,reinit
322,8.04,87.0,29,0.01,reinit
323,7.81,87.0,21,0.02,reinit
324,7.64,83.96,16,0.01,reinit
325,7.08,83.96,19,0.0,reinit
326,6.91,60.09,21,0.0,reinit
327,23.15,36.55,29,0.0,reinit
328,6.4,23.15,31,0.0,track
329,6.97,23.15,31,0.0,track
330,6.69,8.04,31,0.03,track
331,5.6,7.81,31,0.03,track
