frame,raw_speed,smoothed_speed,points,median_px,state
177,64.62,48.65,15,20.48,reinit
178,85.8,48.65,12,27.19,reinit
179,107.66,48.65,19,34.12,reinit
180,144.05,52.16,20,45.65,reinit
181,208.32,53.61,13,66.01,reinit
182,,,7,,init
183,,,33,,init
184,66.75,54.9,33,21.15,track
185,85.99,57.65,33,27.25,track
186,113.24,64.62,31,35.88,track
187,159.73,66.75,30,50.62,track
188,210.11,85.8,29,66.58,reinit
189,,,14,,init
190,31.01,85.8,14,9.83,reinit
191,12.06,85.8,29,3.82,reinit
192,14.25,85.8,36,4.52,track
193,22.4,85.8,36,7.1,track
194,17.87,85.8,36,5.66,track
195,12.54,85.8,36,3.28,track
196,15.15,66.75,35,4.8,track
197,11.35,31.01,35,3.6,track
198,6.92,22.4,35,1.05,track
199,5.72,17.87,35,1.27,track
200,5.69,15.15,35,0.72,track
201,4.44,14.25,35,0.85,track
202,3.74,12.54,35,0.8,track
203,10.49,12.06,35,3.33,track
204,21.99,12.06,35,6.97,track
205,9.29,11.35,35,2.94,track
206,2.76,10.49,35,0.77,track
207,7.09,9.29,35,2.25,track
208,8.57,8.57,35,2.71,track
209,5.22,7.09,35,1.65,track
210,,,35,,track
211,2.99,6.92,35,0.52,track
212,3.02,5.72,35,0.8,track
213,,,35,,track
214,,,35,,track
215,2.62,5.69,35,0.72,track
216,2.58,5.22,35,0.51,track
217,,,35,,track
218,,,35,,track
219,,,35,,track
220,,,35,,track
221,3.57,4.44,35,0.16,track
222,,,35,,track
223,,,35,,track
224,,,35,,track
225,,,35,,track
226,,,35,,track
227,,,35,,track
228,,,35,,track
229,,,35,,track
230,,,35,,track
231,,,35,,track
232,,,35,,track
233,37.04,4.44,35,0.35,track
234,3.05,3.74,35,0.72,track
235,3.22,3.57,35,0.28,track
236,2.61,3.22,35,0.54,track
237,,,35,,track
238,15.42,3.22,35,0.52,track
239,14.26,3.22,35,0.03,track
240,20.06,3.57,35,0.26,track
241,5.33,3.57,35,0.17,track
242,,,35,,track
243,,,35,,track
244,,,35,,track
245,,,35,,track
246,,,35,,track
247,,,35,,track
248,2.79,3.22,35,0.01,track
249,4.72,3.22,35,0.02,track
250,14.48,3.57,35,0.0,track
251,16.58,4.72,35,0.09,track
252,9.49,5.33,35,0.01,track
253,12.64,9.49,35,0.01,track
254,11.01,11.01,35,0.01,track
255,8.87,9.49,35,0.0,track
256,10.33,10.33,35,0.0,track
257,4.94,10.33,35,0.01,track
258,2.56,10.33,35,0.0,track
259,5.91,9.49,35,0.0,track
260,4.86,8.87,35,0.0,track
261,4.48,5.91,35,0.01,track
262,5.43,5.91,35,0.01,track
263,5.45,5.91,35,0.01,track
264,5.37,5.91,35,0.01,track
265,4.95,5.45,35,0.1,track
266,3.49,5.43,35,0.05,track
267,4.81,5.37,35,0.03,track
268,5.1,5.1,35,0.04,track
269,,,35,,track
270,,,35,,track
271,2.56,4.95,35,0.03,track
272,,,35,,track
273,2.63,4.94,35,0.03,track
274,,,35,,track
275,2.67,4.86,35,0.01,track
276,,,35,,track
277,101.97,4.86,35,0.01,track
278,272.17,4.95,35,0.01,track
279,220.95,4.95,35,0.0,track
280,207.43,5.1,35,0.02,track
281,59.4,5.37,35,0.12,track
282,130.12,5.37,35,0.01,track
283,104.3,5.37,35,0.0,track
284,103.89,59.4,35,0.01,track
285,105.47,101.97,35,0.01,track
286,53.08,101.97,35,0.01,track
287,43.23,101.97,35,0.01,track
288,57.63,101.97,35,0.0,track
289,66.81,101.97,35,0.02,track
290,52.6,101.97,35,0.0,track
291,38.45,101.97,35,0.01,track
292,66.73,66.81,35,0.02,track
293,46.67,66.73,35,0.02,track
294,6.74,59.4,35,0.02,track
295,38.79,57.63,35,0.01,track
296,37.36,53.08,35,0.0,track
297,32.88,52.6,35,0.02,track
298,31.41,46.67,35,0.03,track
299,27.95,43.23,35,0.02,track
300,27.49,38.79,35,0.01,track
301,26.12,38.45,35,0.01,track
302,23.0,37.36,35,0.01,track
